timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1524176568317,379,/api/runs?job_uid=731747e6-009e-46f3-8b92-734f7c2ebce3,200,OK,EventKit User 1-40,text,true,,7128,534,8,8,379,0,10
1524176569857,354,/api/runs?job_uid=3c505c21-d9a8-4d18-b5fd-95fcf7a1454a,200,OK,EventKit User 1-31,text,true,,7128,534,8,8,353,0,14
1524176572007,354,/api/runs?job_uid=4d41c422-f519-4b68-ab8c-33defd63aedf,200,OK,EventKit User 1-20,text,true,,7122,534,8,8,353,0,17
1524176574737,475,/api/runs?job_uid=22e8edbf-4c30-441b-ad7d-5b7450c46bc0,200,OK,EventKit User 1-41,text,true,,7127,534,8,8,474,0,28
1524176574737,508,/api/runs?job_uid=ba642279-6eeb-4087-90e8-2c4fb5768dd3,200,OK,EventKit User 1-23,text,true,,7130,534,8,8,508,0,26
1524176575077,369,/api/runs?job_uid=9c9f362e-f641-4ec8-a582-d1221548dda4,200,OK,EventKit User 1-34,text,true,,7126,534,8,8,368,0,12
1524176575696,351,/api/runs?job_uid=b9e04335-8687-4ca0-8d3f-3875548d85a1,200,OK,EventKit User 1-8,text,true,,7513,534,8,8,351,0,10
1524176577825,274,/api/runs?job_uid=a972c324-c018-4ef9-82f6-2d0d141feb15,200,OK,EventKit User 1-15,text,true,,7130,534,8,8,273,0,11
1524176579707,641,/api/runs?job_uid=731747e6-009e-46f3-8b92-734f7c2ebce3,200,OK,EventKit User 1-40,text,true,,7130,534,8,8,641,0,11
1524176581224,356,/api/runs?job_uid=3c505c21-d9a8-4d18-b5fd-95fcf7a1454a,200,OK,EventKit User 1-31,text,true,,7126,534,8,8,355,0,10
1524176583369,357,/api/runs?job_uid=4d41c422-f519-4b68-ab8c-33defd63aedf,200,OK,EventKit User 1-20,text,true,,7126,534,8,8,357,0,11
1524176586225,361,/api/runs?job_uid=22e8edbf-4c30-441b-ad7d-5b7450c46bc0,200,OK,EventKit User 1-41,text,true,,7127,534,8,8,360,0,12
1524176586259,456,/api/runs?job_uid=ba642279-6eeb-4087-90e8-2c4fb5768dd3,200,OK,EventKit User 1-23,text,true,,7128,534,8,8,455,0,6
1524176586456,423,/api/runs?job_uid=9c9f362e-f641-4ec8-a582-d1221548dda4,200,OK,EventKit User 1-34,text,true,,7126,534,8,8,423,0,6
1524176587056,267,/api/runs?job_uid=b9e04335-8687-4ca0-8d3f-3875548d85a1,200,OK,EventKit User 1-8,text,true,,7515,534,8,8,267,0,10
1524176589113,453,/api/runs?job_uid=a972c324-c018-4ef9-82f6-2d0d141feb15,200,OK,EventKit User 1-15,text,true,,7130,534,8,8,453,0,10
1524176591363,300,/api/runs?job_uid=731747e6-009e-46f3-8b92-734f7c2ebce3,200,OK,EventKit User 1-40,text,true,,7128,534,8,8,299,0,34
1524176592592,659,/api/runs?job_uid=3c505c21-d9a8-4d18-b5fd-95fcf7a1454a,200,OK,EventKit User 1-31,text,true,,7126,534,8,8,659,0,8
1524176594739,353,/api/runs?job_uid=4d41c422-f519-4b68-ab8c-33defd63aedf,200,OK,EventKit User 1-20,text,true,,7122,534,8,8,353,0,11
1524176597600,335,/api/runs?job_uid=22e8edbf-4c30-441b-ad7d-5b7450c46bc0,200,OK,EventKit User 1-41,text,true,,7127,534,8,8,334,0,14
1524176597722,387,/api/runs?job_uid=ba642279-6eeb-4087-90e8-2c4fb5768dd3,200,OK,EventKit User 1-23,text,true,,7130,534,8,8,386,0,10
1524176597894,454,/api/runs?job_uid=9c9f362e-f641-4ec8-a582-d1221548dda4,200,OK,EventKit User 1-34,text,true,,7130,534,8,8,454,0,9
1524176598339,442,/api/runs?job_uid=b9e04335-8687-4ca0-8d3f-3875548d85a1,200,OK,EventKit User 1-8,text,true,,7511,534,8,8,442,0,13
1524176600575,273,/api/runs?job_uid=a972c324-c018-4ef9-82f6-2d0d141feb15,200,OK,EventKit User 1-15,text,true,,7128,534,8,8,272,0,8
1524176602675,428,/api/runs?job_uid=731747e6-009e-46f3-8b92-734f7c2ebce3,200,OK,EventKit User 1-40,text,true,,7132,534,8,8,428,0,15
1524176604262,276,/api/runs?job_uid=3c505c21-d9a8-4d18-b5fd-95fcf7a1454a,200,OK,EventKit User 1-31,text,true,,7126,534,8,8,275,0,7
1524176606104,372,/api/runs?job_uid=4d41c422-f519-4b68-ab8c-33defd63aedf,200,OK,EventKit User 1-20,text,true,,7122,534,8,8,372,0,13
1524176608942,269,/api/runs?job_uid=22e8edbf-4c30-441b-ad7d-5b7450c46bc0,200,OK,EventKit User 1-41,text,true,,7127,534,8,8,269,0,10
1524176609122,317,/api/runs?job_uid=ba642279-6eeb-4087-90e8-2c4fb5768dd3,200,OK,EventKit User 1-23,text,true,,7130,534,8,8,316,0,14
1524176609362,375,/api/runs?job_uid=9c9f362e-f641-4ec8-a582-d1221548dda4,200,OK,EventKit User 1-34,text,true,,7126,534,8,8,375,0,11
1524176609795,454,/api/runs?job_uid=b9e04335-8687-4ca0-8d3f-3875548d85a1,200,OK,EventKit User 1-8,text,true,,7513,534,8,8,454,0,6
1524176611859,437,/api/runs?job_uid=a972c324-c018-4ef9-82f6-2d0d141feb15,200,OK,EventKit User 1-15,text,true,,7128,534,8,8,437,0,9
1524176614119,333,/api/runs?job_uid=731747e6-009e-46f3-8b92-734f7c2ebce3,200,OK,EventKit User 1-40,text,true,,7132,534,8,8,332,0,9
1524176615550,331,/api/runs?job_uid=3c505c21-d9a8-4d18-b5fd-95fcf7a1454a,200,OK,EventKit User 1-31,text,true,,7130,534,8,8,331,0,16
1524176617491,336,/api/runs?job_uid=4d41c422-f519-4b68-ab8c-33defd63aedf,200,OK,EventKit User 1-20,text,true,,7122,534,8,8,336,0,11
1524176620222,448,/api/runs?job_uid=22e8edbf-4c30-441b-ad7d-5b7450c46bc0,200,OK,EventKit User 1-41,text,true,,7125,534,8,8,448,0,13
1524176620448,359,/api/runs?job_uid=ba642279-6eeb-4087-90e8-2c4fb5768dd3,200,OK,EventKit User 1-23,text,true,,7132,534,8,8,358,0,9
